rank,name,popularity,total_rating,total_rating_count,release_date,genre
204,Ragnarok Online,1.445786205424763,76.1853210507154,21,2002-Aug-31,Role-playing (RPG)
205,Primordia,2.337346481468469,76.1645998602101,36,2012-Dec-05,Point-and-click
206,Dungeons & Dragons Online,1.0,76.04455291803731,12,2006-Feb-28,Role-playing (RPG)
207,Delta Force: Land Warrior,3.228910802447448,75.9038156909271,11,2000-Nov-07,Shooter
208,Supreme Commander: Forged Alliance,8.132579286796204,75.84576276067276,20,2007-Nov-06,Real Time Strategy (RTS)
209,Ys: The Ark of Napishtim,1.0,75.824992810241,21,2015-Apr-28,Role-playing (RPG)
210,UnderRail,1.891564320978979,75.8025292900747,10,2013-Aug-01,Role-playing (RPG)
211,Gabriel Knight 3: Blood of the Sacred Blood of the Damned,1.445778115533162,75.7084539405144,14,1999-Oct-05,Adventure
212,Battlefield Vietnam,1.445786205424763,75.6167354133063,54,2004-Mar-14,Shooter
213,Life is Feudal: Forest Village,169.0598745045376,75.612874686334,12,2017-May-26,Simulator
214,Insaniquarium,2.337346481468469,75.5893900721793,12,2002-May-02,Shooter
215,Anno 2070,2.560237561713214,75.5847383847723,50,2011-Nov-17,Real Time Strategy (RTS)
216,Harry Potter and the Prisoner of Azkaban,1.891572410849526,75.56071630373825,94,2004-May-25,Platform
217,Black Mirror III: Final Fear,1.445779275703671,75.51433393250319,16,2011-Apr-19,Point-and-click
218,Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge,1.0,75.5063289198862,11,2004-Apr-06,Puzzle
219,Global Operations,28.63849395034835,75.42286756146315,12,2002-Mar-25,Shooter
220,On My Own,1.0,75.30612244897961,10,2016-Feb-26,Simulator
221,English Country Tune,1.44578216048949,75.237138904762,10,2011-Nov-25,Puzzle
222,TrackMania 2: Stadium,1.0,75.22320978064064,18,2013-Jun-20,Racing
223,The Basement Collection,1.668673240734234,75.1534653046602,11,2012-Aug-31,Platform
224,Act of War: Direct Action,23.51199910471922,75.10536259695745,10,2005-Mar-15,Real Time Strategy (RTS)
225,The Detail,1.44578216048949,75.07805815875375,12,2014,Adventure
226,Project I.G.I.: I'm Going In,20.1688068332648,75.0587785477902,48,2000-Dec-15,Shooter
227,WildStar,2.114445288832905,75.02221594525355,29,2014-Jun-03,Shooter
