rank,title,score,user_score,release_date
274,Bone: The Great Cow Race,6.9,6.9,2006-04-12
275,The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,7.8,7.8,2018-08-14
276,Obduction,7.6,7.6,2016-08-24
277,The Devil Inside,6.1,6.1,2000-11-09
278,Miasmata,7.6,7.6,2012-11-28
279,The Beginner's Guide,7.5,7.5,2015-10-01
280,KAIRO,7.7,7.7,2012-02-06
281,Deponia Doomsday,7.1,7.1,2016-03-01
282,Neo Cab,4.6,4.6,2019-10-03
283,Heaven's Vault,5.3,5.3,2019-04-16
284,The Stillness of the Wind,tbd,tbd,2019-02-07
285,Heave Ho,tbd,tbd,2019-08-29
286,Beyond: Two Souls,7.8,7.8,2019-07-22
287,The Wolf Among Us: Episode 2 - Smoke and Mirrors,8.3,8.3,2014-02-04
288,Pathologic Classic HD,8.5,8.5,2015-10-29
289,Broken Age,6.9,6.9,2014-01-28
290,Nancy Drew: Warnings at Waverly Academy,6.5,6.5,2009-10-13
291,The Lost Chronicles of Zerzura,6.9,6.9,2014-07-10
292,McPixel,6.2,6.2,2012-07-09
293,Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees,7.6,7.6,2009-03-23
294,DISTRAINT,7.5,7.5,2015-10-21
295,:THE LONGING:,6.3,6.3,2020-03-05
296,Forgotton Anne,7.2,7.2,2018-05-15
297,Everybody's Gone to the Rapture,5.3,5.3,2016-04-14
298,Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,7.7,7.7,2010-07-20
299,Muv-Luv,8.2,8.2,2016-07-14
300,Bear With Me: Episode Two,6.9,6.9,2017-02-15
301,Dear Esther,6.5,6.5,2012-02-14
302,The Dream Machine,8.1,8.1,2010-12-14
303,Tiny & Big: Grandpa's Leftovers,7.3,7.3,2012-06-19
304,Edna & Harvey: Harvey's New Eyes,7.6,7.6,2012-10-16
305,Black Mirror III: Final Fear,7.6,7.6,2011-04-19
306,We. The Revolution,7.2,7.2,2019-03-21
307,Last Day of June,7.1,7.1,2017-08-31
308,Back to the Future: The Game - Episode V: OUTATIME,7.1,7.1,2011-06-23
309,Dreamfall: The Longest Journey,8.5,8.5,2006-04-17
310,Silence: The Whispered World 2,7.4,7.4,2016-11-15
311,Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,7.5,7.5,2009-06-15
312,Shardlight,6.6,6.6,2016-03-08
313,LUNA The Shadow Dust,7.3,7.3,2020-02-13
314,Jazzpunk,7.7,7.7,2014-02-07
315,Batman: The Telltale Series - Episode 5: City of Light,6.8,6.8,2016-12-13
316,Anna: Extended Edition,5.9,5.9,2013-02-07
317,Out There: Omega Edition,8.0,8.0,2015-04-01
318,Rusty Lake: Roots,7.4,7.4,2016-10-20
319,CAYNE,7.3,7.3,2017-01-24
320,In Other Waters,4.4,4.4,2020-04-03
321,Coffee Talk,7.2,7.2,2020-01-29
322,Anodyne,6.7,6.7,2013-02-04
323,Downfall,8.0,8.0,2016-02-15
324,Heavy Rain,7.2,7.2,2019-06-24
325,The Samaritan Paradox,6.5,6.5,2014-04-18
326,The Night of the Rabbit,7.5,7.5,2013-05-28
327,Please Don't Touch Anything,7.3,7.3,2015-03-26
328,Bokida: Heartfelt Reunion,tbd,tbd,2017-05-17
329,Alice: Madness Returns,8.4,8.4,2011-06-14
330,Afterparty,7.0,7.0,2019-10-29
331,Uplink: Hacker Elite,8.1,8.1,2001-10-09
332,Attentat 1942,7.1,7.1,2017-10-31
333,Beyond Atlantis II,6.9,6.9,2001-10-24
334,Dark Fall 3: Lost Souls,7.0,7.0,2010-04-21
335,The Darkside Detective,7.8,7.8,2017-07-27
336,Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,7.5,7.5,2010-06-22
337,The Next Big Thing,7.4,7.4,2011-04-21
338,Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,6.7,6.7,2011-04-27
339,The Wolf Among Us: Episode 4 - In Sheep's Clothing,8.2,8.2,2014-05-27
340,Still Life,7.6,7.6,2005-05-04
341,The Dark Eye: Chains of Satinav,7.6,7.6,2012-06-22
342,Ode,6.7,6.7,2017-11-27
343,Game of Thrones: Episode One - Iron From Ice,7.3,7.3,2014-12-02
344,Rhem 2,5.7,5.7,2005-11-02
345,Nihilumbra,6.5,6.5,2013-09-24
346,Omensight,6.8,6.8,2018-05-15
347,Missing: Since January,6.5,6.5,2004-06-25
348,Event[0],6.8,6.8,2016-09-14
349,Evoland 2: A Slight Case of Spacetime Continuum Disorder,7.6,7.6,2015-08-25
350,Back to the Future: The Game - Episode I: It's About Time,7.1,7.1,2010-12-22
351,The Walking Dead: The Telltale Series - A New Frontier Episode 3: Above the Law,6.4,6.4,2017-03-28
352,The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,7.5,7.5,2019-01-15
353,Back to the Future: The Game - Episode II: Get Tannen!,7.2,7.2,2011-02-17
354,Leaving Lyndow,5.3,5.3,2017-02-08
355,Orwell: Ignorance is Strength,7.7,7.7,2018-02-22
356,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,7.7,7.7,2014-10-15
357,Bad Mojo,6.9,6.9,1996-02-29
358,Alone With You,5.3,5.3,2017-02-09
