rank,title,score,user_score,release_date
311,Cat Quest II: The Lupus Empire,6.9,6.9,2019-09-24
312,Avernum: Escape From the Pit,8.3,8.3,2012-04-11
313,Aion,6.6,6.6,2009-09-22
314,Pirates of the Burning Sea,7.6,7.6,2008-01-21
315,Minecraft Dungeons,tbd,tbd,2020-05-26
316,Aegis Defenders,5.6,5.6,2018-02-08
317,Might & Magic: Clash of Heroes,7.7,7.7,2011-09-22
318,Star Trek Online: Legacy of Romulus,8.4,8.4,2013-05-21
319,Overture,6.2,6.2,2015-01-26
320,The Surge 2,6.2,6.2,2019-09-23
321,Divinity: Dragon Commander,7.1,7.1,2013-08-06
322,Pillars of Eternity: The White March - Part 1,7.5,7.5,2015-08-25
323,WAKFU,5.7,5.7,2012-02-29
324,Ys Origin,8.3,8.3,2012-05-31
325,EverQuest II: Kingdom of Sky,6.6,6.6,2006-02-21
326,Kingdom Come: Deliverance,8.0,8.0,2018-02-13
327,Shadowrun Returns,7.4,7.4,2013-07-25
328,Vindictus,6.9,6.9,2010-10-27
329,Fight The Dragon,8.2,8.2,2014-12-04
330,Din's Curse,7.4,7.4,2010-03-31
331,Diablo III: Rise of the Necromancer,4.7,4.7,2017-06-27
332,Eschalon: Book I,7.4,7.4,2007-11-19
333,Avadon: The Black Fortress,7.6,7.6,2011-05-02
334,Kenshi,8.2,8.2,2018-12-06
335,Final Fantasy XIII-2,7.1,7.1,2014-12-11
336,Vaporum,7.1,7.1,2017-09-28
337,Absolver,5.9,5.9,2017-08-29
338,Two Worlds II,6.4,6.4,2011-02-03
339,Fable III,5.5,5.5,2011-05-17
340,Cartoon Network Universe: FusionFall,7.7,7.7,2009-01-13
341,Din's Curse: Demon War,6.7,6.7,2011-02-22
342,Milanoir,6.8,6.8,2018-05-31
343,Atelier Ryza: Ever Darkness & the Secret Hideout,7.8,7.8,2019-10-29
344,Star Conflict,7.0,7.0,2013-02-27
345,Shadowbane,8.2,8.2,2003-03-25
346,Ravenmark: Scourge of Estellion,tbd,tbd,2015-09-10
347,Victor Vran,7.5,7.5,2015-07-24
348,Dark Age of Camelot: Trials of Atlantis,7.3,7.3,2003-10-28
349,Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,6.7,6.7,2011-04-27
350,Serpent in the Staglands,7.3,7.3,2015-05-28
351,Half-Minute Hero: Super Mega Neo Climax Ultimate Boy,7.5,7.5,2012-09-27
352,Mass Effect 3: Leviathan,6.8,6.8,2012-08-28
353,Drakensang: The Dark Eye,8.4,8.4,2009-02-23
354,Blade of Darkness,8.6,8.6,2001-02-19
355,Stronghold Kingdoms,4.7,4.7,2012-02-27
356,The Elder Scrolls V: Skyrim Special Edition,6.1,6.1,2016-10-27
357,Age of Wushu,5.4,5.4,2013-04-10
358,Fallout 4: Nuka-World,5.3,5.3,2016-08-30
359,Shadows: Heretic Kingdoms,7.1,7.1,2014-06-13
360,Our Darker Purpose,7.0,7.0,2014-01-29
361,Moonlighter,7.4,7.4,2018-05-29
362,Dungeon Runners,5.8,5.8,2008-07-02
363,Expeditions: Viking,8.0,8.0,2017-04-27
364,Icewind Dale: Heart of Winter,7.7,7.7,2001-02-19
365,Warhammer 40000: Space Marine,7.5,7.5,2011-09-05
366,Evil Islands: Curse of the Lost Soul,7.9,7.9,2001-04-17
367,Ys: Memories of Celceta,7.1,7.1,2018-07-25
368,Dungeons & Dragons Online: Stormreach,6.9,6.9,2006-02-28
369,The Swords of Ditto,6.4,6.4,2018-04-24
370,The Secret World,8.3,8.3,2012-07-03
371,Ultima Online: Age of Shadows,6.7,6.7,2003-02-08
372,Cloud Chamber,7.3,7.3,2014-08-07
373,Sacred,7.7,7.7,2004-03-25
374,Dead In Vinland,7.2,7.2,2018-04-12
375,Vampire: The Masquerade - Redemption,8.3,8.3,2000-06-07
376,Drox Operative,7.4,7.4,2012-11-29
377,Neverwinter,5.3,5.3,2013-06-20
378,Dragon Age: Inquisition - Jaws Of Hakkon,5.8,5.8,2015-03-24
379,Stories: The Path of Destinies,7.1,7.1,2016-04-12
380,Black Desert Online,6.9,6.9,2016-03-03
381,Final Fantasy VIII Remastered,5.4,5.4,2019-09-03
382,God Eater 2: Rage Burst,6.7,6.7,2016-08-29
383,Ys: The Oath in Felghana,7.8,7.8,2012-03-19
384,Regalia: Of Men and Monarchs,7.9,7.9,2017-05-18
385,Paper Sorcerer,6.7,6.7,2013-11-02
386,Driftmoon,7.4,7.4,2012-10-02
387,Final Fantasy XI: Chains of Promathia,8.6,8.6,2004-09-21
388,Children of Zodiarcs,7.4,7.4,2017-07-18
389,Dark Souls III: Ashes of Ariandel,7.3,7.3,2016-10-24
390,Sacred Underworld,7.5,7.5,2005-08-16
391,Neverwinter Nights 2: Mysteries of Westgate,7.5,7.5,2009-04-29
392,Dragon Ball Z: Kakarot,7.5,7.5,2020-01-17
393,Dungeon Siege: Legends of Aranna,7.9,7.9,2003-11-11
394,Toukiden 2,6.9,6.9,2017-03-21
395,Lords of the Fallen,6.9,6.9,2014-10-28
396,Anarchy Online: Alien Invasion,6.9,6.9,2004-08-31
397,Pathfinder: Kingmaker,7.5,7.5,2018-09-25
398,Neverwinter Nights 2: Storm of Zehir,7.3,7.3,2008-11-18
399,Beyond Divinity,7.5,7.5,2004-04-28
400,Pier Solar and the Great Architects,6.6,6.6,2014-09-30
401,Atelier Sophie: The Alchemist of the Mysterious Book,7.8,7.8,2017-02-07
402,Alpha Protocol,7.4,7.4,2010-06-01
403,Hyperdimension Neptunia Re;Birth1,7.9,7.9,2015-01-29
404,The Surge,6.7,6.7,2017-05-16
405,DC Universe Online,6.8,6.8,2011-01-11
406,Mount & Blade,8.6,8.6,2008-09-16
407,Mass Effect: Andromeda,5.0,5.0,2017-03-21
408,Underrail,7.8,7.8,2012-12-05
409,Book of Demons,7.8,7.8,2018-12-13
