rank,title,score,user_score,release_date
464,Call of Duty: Ghosts,2.1,2.1,2013-11-04
465,Hide and Shriek,6.0,6.0,2016-10-25
466,Crimecraft: Bleedout,5.0,5.0,2010-12-04
467,The Spectrum Retreat,4.8,4.8,2018-07-13
468,Dracula: The Last Sanctuary,6.8,6.8,2001-02-11
469,Nancy Drew: The Secret of Shadow Ranch,7.2,7.2,2004-07-20
470,The Guest,7.0,7.0,2016-03-10
471,The Precursors,6.6,6.6,2010-12-21
472,Killing Floor: Incursion,4.2,4.2,2017-11-14
473,Fallout 3: Mothership Zeta,5.7,5.7,2009-08-03
474,Dark Fall: The Journal,6.8,6.8,2003-07-25
475,Splitgate: Arena Warfare,6.1,6.1,2019-05-24
476,Destiny 2: Warmind,2.8,2.8,2018-05-08
477,Aliens vs. Predator,7.4,7.4,2010-02-16
478,Starship Troopers: Terran Ascendancy,7.7,7.7,2000-11-07
479,Line of Sight: Vietnam,7.2,7.2,2003-03-05
480,The Occupation,3.9,3.9,2019-03-05
481,MechWarrior Online,5.3,5.3,2013-09-17
482,Lake Ridden,6.3,6.3,2018-05-10
483,Serious Sam HD: The First Encounter,8.1,8.1,2009-11-24
484,Agatha Christie: And Then There Were None,7.6,7.6,2005-10-30
485,Battlefield: Play4Free,2.0,2.0,2011-03-10
486,CSI: Crime Scene Investigation: 3 Dimensions of Murder,7.5,7.5,2006-03-14
487,Incoming Forces,5.8,5.8,2002-09-25
488,Rise of the Triad,6.6,6.6,2013-07-31
489,Xotic,7.6,7.6,2011-09-16
490,Area 51,6.0,6.0,2005-06-08
491,Close Combat: First to Fight,4.9,4.9,2005-04-18
492,Rhiannon: Curse of the Four Branches,6.2,6.2,2008-10-05
493,Shadowrun,6.1,6.1,2007-05-29
494,Turok Remastered,7.4,7.4,2015-12-17
495,Tank Universal: Challenger Eight,6.7,6.7,2008-08-21
496,Hidden & Dangerous 2: Sabre Squadron,6.7,6.7,2004-10-21
497,Dracula: The Resurrection,6.5,6.5,2000-06-14
498,Primal Carnage,7.5,7.5,2012-10-29
499,Cleopatra: Riddle of the Tomb,tbd,tbd,2008-03-31
500,Genesis Alpha One,4.7,4.7,2019-01-29
501,Warhammer: Vermintide 2 - Winds of Magic,tbd,tbd,2019-08-13
502,FATED: The Silent Oath,tbd,tbd,2016-04-28
503,Tom Clancy's Rainbow Six Rogue Spear: Black Thorn,4.9,4.9,2001-10-31
504,Small Radios Big Televisions,4.6,4.6,2016-11-08
505,CALENDULA,7.4,7.4,2016-02-02
506,ArmA: Queen's Gambit,6.5,6.5,2007-09-28
507,Operation Flashpoint: Red River,4.9,4.9,2011-06-06
508,Detached,tbd,tbd,2017-05-18
509,Among the Sleep,7.4,7.4,2014-05-29
510,Wrack,7.7,7.7,2012-09-12
511,Sunset,2.8,2.8,2015-05-21
512,The Bureau: XCOM Declassified,6.5,6.5,2013-08-19
513,Dark Fall: Lights Out,6.4,6.4,2004-08-31
514,The Elder Scrolls V: Skyrim - Dawnguard,7.0,7.0,2012-08-02
515,Real Myst,7.8,7.8,2000-11-14
516,Fallout: New Vegas - Honest Hearts,6.8,6.8,2011-05-17
517,CONSORTIUM,7.3,7.3,2014-01-08
518,Knee Deep Act 1: Wonderland,6.8,6.8,2015-07-06
519,Lethal VR,tbd,tbd,2016-11-08
520,Memento Mori,7.6,7.6,2009-07-29
521,The Cameron Files: The Secret at Loch Ness,5.8,5.8,2002-01-24
522,NaissanceE,7.1,7.1,2014-02-13
523,Ghost Pirates of Vooju Island,5.8,5.8,2010-08-30
524,RAGE 2: Rise of the Ghosts,3.9,3.9,2019-09-26
525,Slender: The Arrival,6.1,6.1,2013-03-26
526,Cradle,7.5,7.5,2015-07-24
527,Close to the Sun,5.0,5.0,2020-05-05
528,Battle Engine Aquila,6.2,6.2,2003-10-23
529,CSI: Crime Scene Investigation: Dark Motives,8.5,8.5,2004-03-23
530,Stairs,5.8,5.8,2015-09-28
531,Zombi,4.9,4.9,2015-08-18
532,Turok,6.1,6.1,2008-04-22
533,Counter-Strike: Condition Zero,8.7,8.7,2004-01-03
534,Gotham City Impostors,6.6,6.6,2012-02-07
535,Rememoried,6.0,6.0,2015-08-31
536,The Flower Collectors,tbd,tbd,2020-04-21
537,Fallout 3 - Operation: Anchorage,5.5,5.5,2009-01-27
538,Blacksad: Under the Skin,7.7,7.7,2019-11-05
539,Downward Spiral: Horus Station,tbd,tbd,2018-05-31
540,The Bradwell Conspiracy,6.9,6.9,2019-10-08
541,Delta Force: Xtreme,5.6,5.6,2005-04-22
542,Depth,7.7,7.7,2014-11-03
543,Painkiller: Overdose,6.5,6.5,2007-10-26
544,Dracula 3: The Path of the Dragon,7.0,7.0,2008-08-21
545,Blacklight: Tango Down,5.2,5.2,2010-07-14
546,Star Wars Battlefront II,1.4,1.4,2017-11-17
547,Vader Immortal: Episode III,tbd,tbd,2019-11-21
548,Ravaged,6.0,6.0,2012-10-17
549,Californium,6.0,6.0,2016-02-17
550,Painkiller: Hell & Damnation,6.6,6.6,2012-10-31
551,Eidolon,6.4,6.4,2014-08-01
552,P-O-L-L-E-N,4.3,4.3,2016-04-19
553,Serious Sam: The Random Encounter,6.0,6.0,2011-10-24
554,Red Faction II,5.8,5.8,2003-04-07
555,Kholat,6.9,6.9,2015-06-09
556,STRAFE,5.3,5.3,2017-05-09
557,The Town of Light,6.9,6.9,2016-02-26
558,Cold War,5.7,5.7,2005-09-27
559,Necrovision,6.1,6.1,2009-05-18
560,Dirty Bomb,7.7,7.7,2015-06-01
