rank,title,score,user_score,release_date
249,SpellForce: The Order of Dawn,7.7,7.7,2004-02-11
250,Space Colony (Steam Edition),tbd,tbd,2015-04-30
251,Bad North,6.7,6.7,2018-08-28
252,Take Command: 2nd Manassas,7.8,7.8,2006-04-26
253,Blitzkrieg (2003),7.8,7.8,2003-05-12
254,Stellar Impact,7.1,7.1,2011-08-22
255,Total Annihilation: Kingdoms,8.4,8.4,1999-06-23
256,Worms 3D,7.1,7.1,2004-03-12
257,1503 A.D. - The New World,7.5,7.5,2003-03-23
258,Dawn of Man,6.6,6.6,2019-03-01
259,Cossacks: European Wars,8.0,8.0,2001-04-14
260,Ceres,tbd,tbd,2015-10-16
261,Stellaris: Federations,tbd,tbd,2020-03-17
262,Act of War: High Treason,7.5,7.5,2006-05-30
263,Nemesis of the Roman Empire,7.3,7.3,2004-03-25
264,Tin Soldiers: Julius Caesar,8.4,8.4,2005-04-26
265,Cossacks: The Art of War,8.3,8.3,2002-03-31
266,Forts,6.7,6.7,2017-04-19
267,Fieldrunners 2,7.5,7.5,2013-01-10
268,Cossacks II: Napoleonic Wars,7.2,7.2,2005-04-27
269,Space Run,7.6,7.6,2014-06-13
270,Warrior Kings,7.7,7.7,2002-04-13
271,Total War: WARHAMMER II - The Queen & the Crone,8.3,8.3,2018-05-31
272,Treasure Planet: Battle at Procyon,7.8,7.8,2002-10-31
273,War Front: Turning Point,7.7,7.7,2007-02-23
274,Warhammer: Mark of Chaos,7.3,7.3,2006-11-14
275,Blitzkrieg: Rolling Thunder,7.6,7.6,2004-11-30
276,Impossible Creatures Steam Edition,tbd,tbd,2015-11-11
277,StarCraft II: Nova Covert Ops - Mission Pack 1,7.3,7.3,2016-03-29
278,Crusader Kings,7.6,7.6,2004-09-28
279,Steel Division 2,7.6,7.6,2019-06-20
280,Time of Defiance,6.8,6.8,2004-09-28
281,SpellForce 3,7.6,7.6,2017-12-07
282,Soldiers of Anarchy,7.3,7.3,2002-10-08
283,Warhammer 40000: Dawn of War - Soulstorm,8.0,8.0,2008-03-04
284,Earth 2160,7.4,7.4,2005-11-16
285,Unstoppable Gorg,6.7,6.7,2012-01-19
286,Stellaris: Apocalypse,7.3,7.3,2018-02-22
287,Warlords Battlecry III,8.4,8.4,2004-05-19
288,Impossible Creatures,7.8,7.8,2002-12-29
289,Grand Ages: Rome,7.7,7.7,2009-03-17
290,Commandos 3: Destination Berlin,7.6,7.6,2003-10-14
291,Aarklash: Legacy,7.7,7.7,2013-09-12
292,Renowned Explorers: International Society,6.4,6.4,2015-09-02
293,Hearts of Iron,7.8,7.8,2002-11-24
294,World in Conflict: Soviet Assault,8.3,8.3,2009-03-10
295,Judgment: Apocalypse Survival Simulation,7.6,7.6,2018-05-03
296,Warhammer 40000: Regicide,7.6,7.6,2015-09-08
297,Perimeter: Emperor's Testament,tbd,tbd,2006-09-04
298,Black & White: Creature Isle,7.3,7.3,2002-01-21
299,The Gladiators: The Galactic Circus Games,tbd,tbd,2003-03-03
300,Cannon Brawl,tbd,tbd,2013-07-30
301,Kingdoms and Castles,7.5,7.5,2017-07-20
302,PixelJunk Monsters: Ultimate,7.3,7.3,2013-08-26
303,Star Wars Galactic Battlegrounds: Clone Campaigns,7.7,7.7,2002-05-14
304,Battle Realms: Winter of the Wolf,8.0,8.0,2002-11-11
305,Magic & Mayhem: The Art of Magic,7.0,7.0,2001-10-26
306,UFO: Afterlight,7.6,7.6,2007-05-04
307,March of the Eagles,7.0,7.0,2013-02-18
308,Toy Soldiers,7.4,7.4,2012-04-27
309,Warhammer 40000: Gladius - Relics of War,7.2,7.2,2018-07-12
310,World War III: Black Gold,5.9,5.9,2001-10-16
311,The Kings' Crusade,7.2,7.2,2010-10-08
312,Act of Aggression,7.1,7.1,2015-09-02
313,Fate of the Dragon,6.9,6.9,2001-03-14
314,Masters of Anima,5.2,5.2,2018-04-10
315,ParaWorld,7.9,7.9,2006-09-27
316,Age of Empires Online,5.7,5.7,2011-08-16
317,Company of Heroes: Tales of Valor,7.2,7.2,2009-04-07
318,Desert Rats vs. Afrika Korps,7.5,7.5,2004-03-31
319,StarDrive 2,5.4,5.4,2015-04-09
320,Warstone TD,tbd,tbd,2018-05-23
321,No Man's Land,7.1,7.1,2003-10-20
322,Order of War: Challenge,6.9,6.9,2010-03-11
323,Poltergeist: A Pixelated Horror,tbd,tbd,2014-10-20
324,Halo Wars 2,5.8,5.8,2017-02-17
325,Steel Soldiers,8.8,8.8,2001-06-14
326,Full Spectrum Warrior: Ten Hammers,7.6,7.6,2006-03-28
327,Anomaly Defenders,6.5,6.5,2014-05-29
328,Starpoint Gemini 2,8.4,8.4,2013-09-06
329,Taur,tbd,tbd,2020-02-19
330,Sudden Strike 4,7.3,7.3,2017-08-11
331,Sengoku,6.8,6.8,2011-09-13
332,World War II: Frontline Command,6.8,6.8,2003-06-27
333,Age of Sail II: Privateer's Bounty,tbd,tbd,2002-08-13
334,Ashes of the Singularity,6.8,6.8,2016-03-31
335,Age of Empires: Definitive Edition,5.7,5.7,2018-02-20
336,Warhammer 40000: Sanctus Reach,7.4,7.4,2017-01-19
337,Black & White 2 - Battle of the Gods,8.7,8.7,2006-04-24
338,Freaking Meatbags,tbd,tbd,2014-05-20
339,Help Will Come Tomorrow,6.8,6.8,2020-04-21
