rank,title,score,user_score,release_date
315,Bus Simulator 18,6.0,6.0,2018-06-13
316,Ride 2,7.4,7.4,2016-10-07
317,The Sims 3: Showtime,5.3,5.3,2012-03-06
318,The Sims: Pet Stories,7.6,7.6,2007-06-19
319,Train Simulator 2014,4.8,4.8,2013-09-26
320,AquaNox,7.7,7.7,2001-11-19
321,The Sims 4: Outdoor Retreat,5.9,5.9,2015-01-13
322,Light of Altair,8.4,8.4,2009-06-04
323,This is the Police 2,6.4,6.4,2018-07-31
324,WRC 6: World Rally Championship,5.4,5.4,2016-10-07
325,The Crew 2,4.4,4.4,2018-06-28
326,This Is the Police,7.6,7.6,2016-08-02
327,Tom Clancy's HAWX 2,3.7,3.7,2010-11-22
328,Holy Potatoes! We're in Space?!,6.1,6.1,2017-02-14
329,Total Immersion Racing,7.9,7.9,2002-11-09
330,Strike Suit Zero,7.2,7.2,2013-01-23
331,Bounty Train,tbd,tbd,2017-05-16
332,Need for Speed: Undercover,5.1,5.1,2008-11-17
333,MotoGP 08,5.6,5.6,2008-10-28
334,Loco Mania,tbd,tbd,2007-05-08
335,Heroes Over Europe,7.3,7.3,2009-09-08
336,InnerSpace,5.4,5.4,2018-01-16
337,Trainz Railroad Simulator 2006,tbd,tbd,2006-02-02
338,War Tech Fighters,7.8,7.8,2018-07-25
339,WRC 5,6.0,6.0,2015-10-08
340,Jalopy,6.0,6.0,2018-03-28
341,Farming Simulator 2013,7.4,7.4,2012-10-25
342,Air Conflicts: Secret Wars,6.2,6.2,2011-08-30
343,Blazing Angels: Squadrons of WWII,4.6,4.6,2006-03-28
344,Radio Commander,5.0,5.0,2019-10-10
345,Strike Fighters: Project 1,7.6,7.6,2002-10-27
346,Metal Wolf Chaos XD,5.6,5.6,2019-08-06
347,Apache: Air Assault,7.3,7.3,2010-11-19
348,Microsoft Flight,3.5,3.5,2012-02-29
349,Farming Simulator 15,7.4,7.4,2014-10-30
350,WRC 4: FIA World Rally Championship,6.5,6.5,2013-10-25
351,Attack on Pearl Harbor,6.9,6.9,2007-08-06
352,Cooking Simulator,5.9,5.9,2019-06-06
353,Guns of Icarus Online,7.8,7.8,2012-10-29
354,Pro Cycling Manager 2016,5.7,5.7,2016-06-16
355,Redline: Xtreme Air Racing 2,tbd,tbd,2003-10-30
356,Juiced,7.3,7.3,2005-06-13
357,Youtubers Life,6.8,6.8,2016-05-18
358,Echelon: Wind Warriors,8.8,8.8,2004-02-09
359,Jetfighter 2015,tbd,tbd,2005-09-08
360,Rulers of Nations: Geopolitical Simulator 2,6.0,6.0,2010-09-30
361,Construction Simulator 2015,5.3,5.3,2014-11-18
362,Galaxy On Fire 2 Full HD,6.5,6.5,2012-08-21
363,Goat Simulator,6.6,6.6,2014-04-01
364,Take On Mars,7.6,7.6,2013-08-01
365,OVERPASS,5.4,5.4,2020-02-27
366,Ship Simulator 2008,6.6,6.6,2008-01-21
367,Need for Speed World,5.7,5.7,2010-07-27
368,Silent Hunter 5: Battle of the Atlantic,3.7,3.7,2010-03-02
369,Wings Over Europe: Cold War Gone Hot,7.8,7.8,2006-05-24
370,Redshirt,5.5,5.5,2013-11-13
371,Bientot l'ete,4.4,4.4,2013-02-06
372,Space Force: Rogue Universe,5.9,5.9,2007-06-05
373,Juiced 2: Hot Import Nights,4.9,4.9,2007-11-16
374,Drug Dealer Simulator,6.3,6.3,2020-04-16
375,Rig'n'Roll,5.5,5.5,2010-04-16
376,WRC 3: FIA World Rally Championship,7.6,7.6,2013-04-23
377,F1 2015,3.9,3.9,2015-07-09
378,Desperate Housewives: The Game,6.5,6.5,2006-10-06
379,Big Mutha Truckers,3.8,3.8,2003-06-27
380,Bus Driver,7.1,7.1,2007-03-22
381,F1 2014,4.8,4.8,2014-10-16
382,Car Mechanic Simulator 2014,7.0,7.0,2014-01-24
383,ER (2005),tbd,tbd,2005-05-31
384,Tempest (2015),6.3,6.3,2016-08-22
385,Le Mans 24 Hours,tbd,tbd,2002-06-01
386,JetFighter IV: Fortress America,7.5,7.5,2000-11-08
387,Off-Road Drive,6.1,6.1,2011-09-29
388,IL-2 Sturmovik: Cliffs of Dover,7.1,7.1,2011-04-26
389,Tarr Chronicles,tbd,tbd,2007-09-18
390,Auto Age: Standoff,tbd,tbd,2017-09-21
391,AquaNox 2: Revelation,7.6,7.6,2003-08-22
392,Ship Simulator 2006,6.4,6.4,2006-08-21
393,Fireburst,4.4,4.4,2012-04-25
394,Enemy Engaged 2,4.8,4.8,2007-07-10
395,Bio Inc. Redemption,7.2,7.2,2017-05-18
396,Bee Simulator,5.6,5.6,2019-11-14
397,Shelter 2,6.9,6.9,2015-03-09
398,Jane's Attack Squadron,tbd,tbd,2002-03-22
399,Singles: Flirt Up Your Life,7.4,7.4,2004-10-05
400,SOL: Exodus,6.5,6.5,2012-01-25
401,Vector Thrust,5.3,5.3,2015-07-02
402,Ducati World Racing Challenge,tbd,tbd,2001-02-09
403,Open Kart,tbd,tbd,2001-09-24
404,SpaceStationSim,tbd,tbd,2005-12-12
405,JetFighter V: Homeland Protector,4.0,4.0,2003-10-21
406,Iron Warriors: T-72 Tank Command,6.6,6.6,2006-05-24
407,Fair Strike,tbd,tbd,2004-02-10
408,Speaking Simulator,tbd,tbd,2020-01-30
409,Combat,tbd,tbd,2001-11-20
410,Star Trek: Legacy,4.1,4.1,2006-12-05
411,Dark Horizon,5.4,5.4,2008-10-07
412,OmniBus,6.4,6.4,2016-05-26
413,Suzuki Alstare Extreme Racing,tbd,tbd,2000-12-14
414,Pearl Harbor: Zero Hour,7.7,7.7,2001-05-12
415,Crasher,6.1,6.1,2011-01-28
416,Pizza Connection 3,3.7,3.7,2017-08-18
417,Star Wars: Battle for Naboo,6.7,6.7,2001-03-11
418,Omerta: City of Gangsters,4.9,4.9,2013-01-31
419,Universal Combat,2.6,2.6,2004-02-05
420,Carmageddon: Reincarnation,4.4,4.4,2015-05-21
421,Death Track: Resurrection,3.4,3.4,2009-03-31
422,Miner Wars 2081,5.9,5.9,2012-11-28
423,Table Manners,tbd,tbd,2020-02-14
424,Larry Ragland 4x4 Challenge,tbd,tbd,2001-11-30
425,Ford Racing,4.2,4.2,2000-09-07
426,Destroyer Command,7.8,7.8,2002-02-17
427,Adventure Park,4.1,4.1,2013-11-08
428,Ship Simulator Extremes,6.4,6.4,2010-08-27
429,Whirlwind Over Vietnam,3.0,3.0,2007-04-13
430,Spacebase DF-9,2.9,2.9,2014-10-27
431,Universal Combat: A World Apart,3.8,3.8,2005-08-15
432,JASF: Jane's Advanced Strike Fighters,3.8,3.8,2011-11-01
433,Ford Bold Moves Street Racing,4.4,4.4,2006-09-25
434,Carmageddon 3: TDR 2000,7.1,7.1,2000-12-14
435,The Sims 2: H&M Fashion Stuff,5.5,5.5,2007-06-05
436,The Sims 2 Holiday Edition,8.0,8.0,2005-11-15
437,Arma Tactics,5.7,5.7,2013-10-01
438,Bus Simulator 16,5.9,5.9,2016-03-02
439,B-17 Gunner: Air War Over Germany,tbd,tbd,2001-05-20
440,Starpoint Gemini,8.3,8.3,2010-12-15
441,Flyboys Squadron,5.0,5.0,2006-11-16
442,Supercar Street Challenge,4.4,4.4,2001-10-30
443,Hard Truck: Apocalypse,8.5,8.5,2006-06-26
444,Post Apocalyptic Mayhem,6.9,6.9,2011-03-17
445,Air Conflicts: Vietnam,2.7,2.7,2013-10-02
446,Ford Racing: Off Road,4.0,4.0,2008-09-23
447,Legends of Pegasus,1.5,1.5,2012-08-10
448,X Rebirth,3.2,3.2,2013-11-15
449,Big Rigs: Over the Road Racing,3.9,3.9,2003-11-20
